frame	x	y
0	139.9326444699579	273.23593570608494
1	140.5377852208499	273.7546577349801
2	141.08587665754578	275.00147337402655
3	141.49470712773464	276.08839096683135
4	142.52219422368677	276.59895328552045
5	143.723759332455	277.0188844971454
6	144.98728813559322	277.80526897568166
7	145.9379858657244	278.4563604240283
8	146.3835862294012	279.84826235927557
9	146.58032454361054	280.85618661257604
10	146.27851745232098	281.54695933789134
11	146.256550779243	281.94759376605583
12	146.2176570458404	282.2327674023769
13	146.35091974934303	282.78006872852234
14	146.0554709593213	284.579725908201
15	145.33159073935772	285.70743091859595
16	144.7845822735277	286.2279397378204
17	144.27864241515096	287.1398837427339
18	143.53541583764425	287.7793473935535
19	143.13476411446248	288.00657385924205
20	142.32360688956433	288.247619047619
21	141.48165747956662	288.7557498574416
22	139.8316850882296	288.91623036649213
23	138.124254268669	288.3635054515532
24	136.2179316466933	288.326453617399
25	134.90481986368061	287.8344693281402
26	134.23290488431877	286.4784061696658
27	132.94516207652936	286.12381184499145
28	131.63331653225808	285.2721774193548
29	130.1112472433227	285.30409213428084
30	129.52990948445495	283.9946871310508
31	129.2337687658413	283.408656658218
32	128.62510446264415	282.7658365368544
33	128.06486664471518	282.1646361540994
34	126.93783068783068	281.2949735449736
35	125.91875589066917	280.25937794533456
36	125.21246006389777	278.73482428115017
37	125.05100806451613	277.2969758064516
38	124.97043606799704	276.07945306725793
39	125.28783165599268	275.2464775846295
40	125.3937575030012	274.09283713485394
41	125.91733532375443	271.8951296883747
42	125.76752836153989	271.02529291426447
43	125.43906638607231	270.11823225559596
44	125.702249332825	269.86980556614566
45	126.17273795534665	269.2716412064238
46	126.58819810326659	268.86427818756584
47	127.66763355088229	267.4892434131013
48	128.90591836734694	266.5038775510204
49	130.04820788530466	266.10824372759856
50	130.77399138268703	265.47297297297297
51	131.26132024004363	264.46772140389163
52	131.84915221204443	263.4897680763984
53	132.33512064343162	262.8697050938338
54	132.78172153635117	261.84807956104254
55	133.53713474025975	261.0200892857143
56	134.12062256809338	260.22120622568093
57	134.48579413134607	259.876339077783
58	135.2994691119691	258.9956563706564
59	135.73649836724442	258.1994473750314
60	136.59467323187107	257.3142345568487
61	137.76599091226845	256.5893044390073
62	137.85202565305804	255.47364304708276
63	138.37609329446065	254.69497084548104
64	139.33609874544717	254.22824767300688
65	140.6239456901872	254.11952273194817
66	141.73233082706767	253.50958646616542
67	142.74823973896616	253.59900394985402
68	143.22750046390797	253.79847838188903
69	144.8879030512876	254.08699415710885
70	146.12608607799555	254.9030107092342
71	146.75422798155063	255.3046343070503
72	147.6005209566659	255.28368458441867
73	148.77704918032788	255.75300546448088
74	149.92053663570692	255.88668730650156
75	150.5650738488271	257.0165073848827
76	150.92116880386797	258.4685726298087
77	151.25305719921104	259.43254437869825
78	151.45284364414334	259.87840969869853
79	151.28807692307691	260.8842307692308
80	151.58626919602528	261.93405600722673
81	151.67158671586716	262.7810578105781
82	151.01275571600482	263.9410348977136
83	150.09315866084424	264.356415055105
84	149.2600942816151	264.69174011067844
85	148.6831204026326	264.94947735191636
86	148.01434249179195	265.32970451010885
87	147.11330874958097	266.1765001676165
88	145.91432791728212	267.0878056786476
89	144.92881072026802	267.34824120603014
90	144.55107675317504	267.8378428124425
91	143.94827906976744	268.02548837209304
92	143.29803186504216	268.54470477975633
93	142.41870867366782	267.9049008168028
94	141.72836446816623	267.8448341593595
95	140.1316124341029	267.876931467006
96	138.79968890425164	267.9982716902869
97	137.54862251413977	268.5577449370553
98	136.3226069246436	268.91832993890023
99	135.78843930635838	268.23776493256264
100	134.2067575350355	268.0689191783452
101	133.00291149068323	267.86975931677017
102	132.39967782351889	267.71129407553246
103	132.10860232151376	267.0729845762442
104	131.43804420629604	266.39768921634294
105	130.08349110185534	265.46819386595985
106	128.97881849980567	264.42382432957635
