frame	x	y
0	144.80583068585312	220.14595402728463
1	144.82938775510203	219.75559183673468
2	144.55707762557077	219.38849315068492
3	144.8642650369894	218.72627854615632
4	145.1971192749636	218.0294546043049
5	145.06253256904637	217.94719471947195
6	144.44680111265646	217.81762865090403
7	144.08500772797527	217.46041559333676
8	143.47663551401868	217.41192029624403
9	143.2616741611899	217.34434451746802
10	142.93975903614458	217.12009944540065
11	142.63095238095238	216.83035714285714
12	142.32194108761328	216.64784743202418
13	142.05729070412124	216.5156163370911
14	141.72250337381917	216.71356275303643
15	141.50510802210684	216.834533578965
16	141.27684964200478	216.96054097056484
17	141.15807980431126	216.83549915914998
18	141.34045517882026	216.83186251741756
19	141.21245239278025	216.88474913065076
20	141.04134615384615	216.83926282051283
21	141.08251057827925	216.86248236953455
22	140.88690990835207	216.70395988241398
23	140.84629176854116	216.45134474327628
24	140.71668742216687	216.18524283935244
25	140.1014323784144	215.32161892071952
26	140.1154542164314	214.29496923633732
27	140.1475620975161	213.9672493100276
28	139.68842408943382	213.96123332131265
29	139.24807056229326	213.64222712238148
30	139.35185834502104	213.46107994389902
31	139.34625550660792	213.36035242290748
32	139.1423277749705	213.29139295940712
33	139.0580853352456	213.021513087128
34	138.81843944832798	212.76232760249385
35	138.70738406850865	212.65810308612055
36	138.52139778325125	212.63870073891627
37	138.16455476479777	211.88213851761847
38	138.14740484429066	211.86176470588236
39	137.88736263736263	211.29378434065933
40	137.18966677886235	211.17283742847525
41	136.88659793814432	210.81527801250633
42	136.83640767654182	210.6962921557667
43	136.50020981955518	210.53210239194294
44	136.25496545768567	210.3523316062176
45	136.2063234698014	210.17875962707743
46	136.00795118343194	210.2448224852071
47	135.6894657067071	210.16521409624858
48	135.5287854177946	209.90164230283344
49	135.28167344173443	209.8565379403794
50	134.58620099298065	209.73703133025168
51	134.0446198453608	209.74259020618555
52	133.80560131795716	209.31850631521144
53	133.17217524980785	208.7031129900077
54	132.91244788564623	208.46079015286878
55	132.69176192353174	208.14327946393377
56	132.35521449704143	207.75887573964496
57	132.00794438927508	207.7938430983118
58	131.9531650201244	207.42553969996342
59	131.50358355337607	207.39004149377593
60	131.07260726072607	207.3612211221122
61	130.5762141368809	207.29780413527808
62	129.96398271170162	207.09476548743396
63	129.74719101123594	206.93609550561797
64	129.63045720178755	206.7605706428326
65	128.79984514130857	206.98664343786294
66	128.36195398466157	207.26025341780593
67	127.98563408190225	207.15752972258917
68	127.40956303724928	206.27202722063038
69	127.32029829028738	206.2269916333212
70	126.94069706953356	206.14149471128837
71	126.78249916022841	206.01763520322473
72	126.43908213440174	205.43398288107812
73	126.72909184197025	205.38224730631092
74	126.42824278888692	205.2374800920191
75	125.84522770895131	204.95393474088291
76	125.9926993977003	205.0065705420697
77	125.71675053918045	205.1667864845435
78	125.45976806422837	204.9600356824264
79	125.55198663200892	204.9829186780542
80	125.5623822088202	204.9052016584998
81	125.13930544593528	204.37884767166534
82	124.81154468620751	204.15446862075166
83	124.8232741617357	203.7777120315582
84	124.55858421480879	203.77156224572823
85	124.04261421839787	202.90268387625486
86	123.89819156061621	202.8075463273052
87	123.82303552206673	202.54962325080731
88	124.04221198156682	202.10820276497697
89	123.98839751135026	202.1081217420548
90	123.56055928817868	202.00907935355002
91	123.48946259220232	202.13294696171408
92	123.5445301542777	202.11465638148667
93	123.3062102506547	202.32210998877665
