frame	x	y
90	488.41341256366724	428.0913412563667
91	488.1437728937729	429.34725274725275
92	487.6886480529023	430.15576781778105
93	487.3069591800036	431.11472756698436
94	487.0407166123779	431.8584871516468
95	486.7888341543514	433.2221674876847
96	486.517094017094	433.9271794871795
97	486.6076676237122	434.7513933457186
98	486.51614574339493	435.5850457606631
99	486.4058911632551	436.83291729073056
100	486.42788141239174	437.45486342438375
101	486.55548608940296	438.49124726477027
102	486.8456101774776	439.608606879221
103	486.64646946564886	440.62054707379133
104	486.5178904527726	441.23028658639987
105	486.46777875329235	442.22739244951714
106	486.36917306661906	443.17485265225935
107	486.1966224366707	444.4251249353783
108	486.01186239620404	445.08320623623115
109	485.65190839694657	445.9514843087362
110	485.10938046902345	446.84966748337416
111	485.0338631651693	447.4091223220456
112	485.1814487632509	448.4106007067138
113	484.6434584356366	448.96001403016487
114	484.4405224144017	450.19449346982
115	484.1010118043845	450.9256323777403
116	483.6897667290993	451.8872807764345
117	483.20214826553973	452.8096495861948
118	482.72803787480274	453.7096265123619
119	481.92715115256027	454.25479500263947
120	481.1181323213991	454.82577132486387
121	480.26211344468334	455.35488672068794
122	479.4356289874039	456.1365941436283
123	479.256291730868	456.2006505735319
124	478.17726589884825	456.4820564179603
125	477.5487127713276	457.05334006394077
126	476.3436510728104	457.60024621878296
127	475.5897527767825	457.92762450734506
128	474.7143114961198	458.06388738494854
129	473.8082493125573	458.3129239230064
130	472.82367016381374	458.98306644579424
131	472.1781857451404	459.1283297336213
132	471.51160681900615	459.64417845484223
133	470.5634303112314	460.0756089309878
134	469.7090940112609	460.7474833646136
135	469.1597586152136	461.4527552802922
136	468.634225996081	461.6828870019595
137	468.1167699782208	461.8951248115262
138	467.2384273937857	462.1975269499049
139	466.65368474064127	462.7656538526104
140	465.87611191978004	462.7947598253275
141	464.93030303030304	462.9615629984051
142	463.9686113393591	463.08184059161874
143	463.0150761579111	463.97202362449485
144	462.30026195153897	464.27717747216764
145	461.28580968280465	464.8709515859766
146	460.71855320523173	465.54529307282417
147	460.2075	466.11125
148	459.9446724675751	466.80118207190935
149	459.06972981718167	467.5565442485035
150	458.5398018448924	468.1428083361804
151	458.0222081218274	468.80377538071065
152	457.5658249158249	469.8661616161616
153	456.84411362080766	470.71817248459956
154	456.26321934945787	471.60100083402835
155	456.0830409356725	472.31612364243944
156	456.06403013182677	473.0648861496319
157	455.5365139510851	474.1863589390286
158	454.763337414728	475.0858842050026
159	454.30513542033066	475.68853323953573
160	453.96655459210757	476.4100159263847
161	453.23890101892283	477.08806404657935
162	452.825598000714	477.7890039271689
163	452.4466868483014	478.58577194752775
164	451.5780652213518	479.0107487702678
165	451.189985538684	479.72758496023135
166	450.2915921288014	480.54508050089447
167	449.50649125843864	481.2142980785875
168	448.6751040221914	481.9498959778086
169	447.94767339771727	482.2219490781387
170	447.5237671354816	482.5864340395229
171	446.4563385332616	482.8319885242962
172	445.5316324771591	483.49577659024305
173	444.5628670120898	483.8837651122625
174	444.12353488372094	484.52874418604654
175	442.9946464832933	484.9248661620823
176	442.6118507406713	485.1858241140071
177	441.4992790194665	485.50504686373466
178	440.739183960605	485.5112557157932
179	439.8893008474576	485.787959039548
180	439.16228859301907	486.266642677222
181	438.3356282271945	487.05077452667814
182	437.5714777816052	487.1076472614537
183	436.7270697354861	487.8373411198901
184	435.8596460487121	488.4766076747853
185	435.10393359797905	489.10700108264166
186	434.6331630791682	489.5722364100693
187	433.83330132513925	490.2229690800845
188	433.1037718145994	490.9378870332145
189	432.4590275416525	491.578884733084
190	431.43847837064465	492.1153004544689
191	431.03472783072203	493.0843159424972
192	429.9981599197056	493.63231850117097
193	429.1016507384883	494.5070373588184
194	428.5886550777676	495.1337602927722
195	427.4610215053763	496.15687403993854
196	426.6385496183206	496.51106870229006
197	425.93148661126503	497.07146814404433
198	425.2734029375332	497.6912050964431
199	424.46191819464036	497.9564527503526
200	423.5022080904434	498.5331213566508
201	423.21977631812535	498.21196520504174
202	421.9660801741339	498.4360602212951
203	421.2089879430033	498.8925831202046
204	420.15646518745217	499.01166794185156
205	419.2320137038447	499.58336505519605
206	418.45789670658684	499.69779191616766
207	417.48690715986083	500.0232558139535
208	416.69822940723634	500.875481139338
209	415.98456906285287	501.0297327813323
210	415.07025582283313	501.09602901870943
